pitch,roll,yaw,Ax,Ay,Az,Gx,Gy,Gz
6.790596003694761,16.11059209157619,-106.25476869626564,510,150,16579,0,0,0
6.926301291736361,15.983044514084732,-105.36463558101347,518,132,16565,1,-1,-2
7.039250049331238,15.837704853328306,-104.47683713076094,520,136,16573,1,0,0
7.165226682951894,15.85433015913855,-103.48391493259912,516,107,16567,0,-1,1
7.235954904433319,15.707583697550863,-102.5648959898213,512,136,16597,1,0,2
7.262204188321791,15.566695338503541,-101.63236663873157,512,140,16571,1,0,1
7.357110780399013,15.460059754327608,-100.66024973820403,528,136,16559,1,0,-1
7.523963568655112,15.360299117272039,-99.67997872898134,510,114,16520,1,-2,0
7.680293229798956,15.29973495021052,-98.6530184105869,510,136,16563,1,-1,1
7.652487843495393,15.024378400583078,-97.76014223170283,508,131,16548,2,-2,1
7.834959508202572,14.935438559483138,-96.74240124262374,514,120,16580,2,1,1
7.89041178533023,14.750136668797044,-95.76518918831957,533,139,16576,0,0,0
7.986041231570584,14.62360673965255,-94.74455399389473,515,129,16570,2,-1,2
8.107489717957536,14.510868234002867,-93.70382233585629,515,115,16575,1,1,2
8.15672231341283,14.344781170018752,-92.69176331164755,513,101,16569,1,-1,0
8.294825640747984,14.207997009303918,-91.64159840484906,507,140,16577,0,-1,0
8.312639756562577,14.008802448747957,-90.63022539617252,509,123,16588,1,2,0
8.491575650298632,13.90274918137132,-89.53455920730582,514,121,16578,1,-1,-1
8.546191026152133,13.739912813370584,-88.46087703391356,508,127,16579,0,0,1
8.61010799899375,13.553171419856378,-87.40689477731262,497,117,16585,0,0,0
8.672324821549793,13.327287129890948,-86.3646896330176,515,119,16591,1,-1,1
8.741871656761766,13.16553872883918,-85.24963070199499,521,130,16563,2,0,0
8.811130918285246,12.941921613773923,-84.19132494299004,512,122,16582,1,-1,-1
8.9323049992488,12.827606387105691,-83.03091482028891,495,121,16582,1,0,1
9.067164851981001,12.673729108947443,-81.87065191750106,508,139,16593,2,0,1
